lat,lon
60.0504,-153.099
63.5834,-147.437
63.518,-147.284
34.0182,-116.42
56.9599,-155.759
63.2089,-151.365
60.4961,-151.31
18.892,-64.3949
38.8098,-122.887
33.8557,-116.159
39.756,15.786
-31.908,-71.322
37.2757,-121.656
63.1029,-149.35
34.0517,-117.265
64.8099,-147.44
64.9295,-149.033
37.489,-118.86
63.0743,-150.428
32.6535,-115.696
38.8085,-122.799
62.2496,-152.065
37.847,-122.049
62.9265,-143.912
64.1268,-150.054
63.469,-145.279
-4.498,153.469
38.8108,-122.8
16.697,-98.335
62.3382,-151.208
65.0119,-148.749
17.672,145.709
33.6385,-116.708
36.5362,-121.12
18.388,-67.3359
34.5527,-118.206
49.4383,-120.525
33.712,-116.811
48.7548,-122.154
49.4382,-120.498
33.8568,-116.156
12.202,-87.736
33.1638,-115.677
33.1692,-115.685
62.2768,-148.46
33.356,-116.356
36.0072,-117.818
62.5093,-151.188
63.5195,-148.022
63.5996,-150.729
47.2817,-122.242
60.1195,-152.717
38.743,142.586
63.1007,-151.678
34.0297,-116.762
60.5398,-147.656
63.2196,-151.431
56.8918,-153.006
-29.077,-71.445
63.4519,-151.343
60.4617,-150.828
33.5088,-116.538
36.5697,-121.164
17.8595,-66.9069
63.4877,-151.273
33.4948,-116.493
-16.904,-173.446
29.8749,138.755
63.4275,-151.418
19.0583,-67.7669
19.3948,-155.285
37.6377,-118.879
-20.81,-174.422
37.803,-122.585
36.673,-121.304
34.0278,-117.105
64.3582,-149.734
19.8075,-155.385
61.1851,-152.329
33.6667,-116.754
36.9497,-121.686
37.5025,-118.87
36.9407,-121.679
33.733,136.951
38.835,-122.773
63.0072,-151.575
35.3943,-92.2755
34.0077,-117.615
35.3018,-118.593
37.8023,-122.042
44.7098,-111.035
44.7057,-111.034
38.8342,-122.841
33.0043,-115.554
38.8348,-122.839
33.1627,-115.623
63.3945,-145.189
37.5307,-119.33
38.8258,-122.802
33.5258,-116.739
38.99,-111.384
38.818,-122.793
63.8141,-148.454
37.48,-118.846
39.6383,-110.366
